id,Category
146,3
379,2
247,4
197,1
368,5
165,5
278,3
295,1
186,2
330,1
369,2
304,5
213,1
161,4
283,4
172,1
5,1
391,5
90,5
274,1
290,1
286,1
17,4
29,2
346,1
384,3
354,5
228,4
4,1
314,3
305,5
6,1
78,5
257,1
230,1
85,5
318,1
95,3
392,5
382,5
58,4
174,1
139,1
127,5
285,5
256,1
245,5
62,4
224,1
189,5
18,5
393,5
238,5
92,4
234,2
81,3
67,3
65,1
201,4
221,5
173,5
334,1
311,4
222,4
117,1
307,3
301,1
378,5
277,1
93,1
171,5
80,3
11,1
294,1
41,5
204,1
362,2
233,1
275,4
23,1
296,2
13,1
249,2
61,4
351,2
208,5
358,5
122,2
337,5
372,5
102,1
332,1
374,5
344,1
242,1
106,3
191,1
82,1
364,5
107,1
27,1
89,1
347,1
73,1
272,5
260,1
119,1
386,5
292,5
98,1
321,5
125,3
180,1
267,1
250,5
39,4
163,5
132,5
284,5
348,1
59,1
120,5
12,1
306,5
167,1
91,1
388,2
394,5
329,1
381,2
232,2
