id,Category
146,3
379,3
247,3
197,2
368,3
165,3
278,3
295,2
186,3
330,2
369,3
304,3
213,2
161,3
283,3
172,3
5,2
391,3
90,2
274,2
290,2
286,3
17,2
29,3
346,2
384,3
354,3
228,3
4,2
314,3
305,3
6,2
78,3
257,3
230,3
85,3
318,3
95,2
392,3
382,3
58,3
174,3
139,5
127,5
285,3
256,3
245,3
62,3
224,3
189,3
18,2
393,3
238,3
92,2
234,3
81,3
67,3
65,3
201,3
221,4
173,3
334,2
311,3
222,3
117,2
307,3
301,2
378,3
277,3
93,2
171,3
80,3
11,2
294,2
41,3
204,3
362,2
233,3
275,3
23,3
296,2
13,2
249,3
61,3
351,2
208,4
358,3
122,2
337,3
372,3
102,3
332,2
374,3
344,2
242,3
106,3
191,2
82,3
364,3
107,3
27,3
89,3
347,2
73,3
272,2
260,3
119,2
386,3
292,2
98,3
321,3
125,2
180,3
267,3
250,4
39,3
163,3
132,5
284,3
348,2
59,3
120,2
12,2
306,3
167,3
91,2
388,3
394,3
329,3
381,3
232,3
