id,Category
146,3
379,2
247,4
197,2
368,3
165,5
278,3
295,2
186,3
330,2
369,3
304,3
213,2
161,5
283,3
172,3
5,2
391,5
90,2
274,2
290,2
286,2
17,2
29,3
346,2
384,3
354,3
228,3
4,4
314,3
305,3
6,2
78,3
257,4
230,3
85,2
318,3
95,2
392,5
382,3
58,3
174,3
139,5
127,5
285,3
256,4
245,3
62,3
224,3
189,3
18,2
393,5
238,3
92,2
234,3
81,3
67,2
65,2
201,3
221,4
173,5
334,2
311,3
222,4
117,2
307,3
301,2
378,2
277,3
93,2
171,3
80,3
11,2
294,2
41,3
204,3
362,2
233,3
275,2
23,2
296,2
13,2
249,4
61,3
351,4
208,4
358,2
122,2
337,2
372,3
102,1
332,2
374,3
344,2
242,3
106,3
191,2
82,2
364,2
107,1
27,3
89,2
347,2
73,3
272,2
260,3
119,2
386,5
292,2
98,1
321,3
125,2
180,3
267,3
250,4
39,3
163,3
132,5
284,3
348,2
59,3
120,2
12,2
306,3
167,5
91,2
388,5
394,5
329,2
381,3
232,3
